rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=0.10|t=11.11,1,73984,112,15,16.174925682500678,2.9004643264490855
2,A=0.10|t=11.6,1,36992,112,15,15.174925682500678,2.9004643264490855
3,A=0.10|t=11.8,3,73984,112,15,14.589963181779522,2.9004643264490855
4,A=0.10|t=11.9,1,18496,112,15,14.174925682500678,2.9004643264490855
5,A=0.10|t=6.11,5,73984,112,15,13.852997587613316,2.9004643264490855
6,A=0.10|t=6.6,3,36992,112,15,13.589963181779522,2.9004643264490855
7,A=0.10|t=6.8,7,73984,112,15,13.367570760443074,2.9004643264490855
8,A=0.10|t=6.9,1,9248,112,15,13.174925682500678,2.9004643264490855
9,A=0.10|t=8.11,9,73984,112,15,13.005000681058366,2.9004643264490855
10,A=0.10|t=8.6,5,36992,112,15,12.852997587613316,2.9004643264490855
11,A=0.10|t=8.8,11,73984,112,15,12.715494063863382,2.9004643264490855
12,A=0.10|t=8.9,3,18496,112,15,12.589963181779522,2.9004643264490855
13,A=0.10|t=9.11,13,73984,112,15,12.474485964359587,2.9004643264490855
14,A=0.10|t=9.6,7,36992,112,15,12.367570760443074,2.9004643264490855
15,A=0.10|t=9.8,15,73984,112,15,12.26803508689216,2.9004643264490855
16,A=0.10|t=9.9,1,4624,112,15,12.174925682500678,2.9004643264490855
17,A=0.11|t=10.10,1,4352,112,15,12.087462841250339,2.9004643264490855
18,A=0.11|t=10.12,9,36992,112,15,12.005000681058366,2.9004643264490855
19,A=0.11|t=10.5,19,73984,112,15,11.926998169057093,2.9004643264490855
20,A=0.11|t=10.7,5,18496,112,15,11.852997587613316,2.9004643264490855
21,A=0.11|t=12.10,21,73984,112,15,11.782608259721918,2.9004643264490855
22,A=0.11|t=12.12,11,36992,112,15,11.715494063863382,2.9004643264490855
23,A=0.11|t=12.5,23,73984,112,15,11.651363726443666,2.9004643264490855
24,A=0.11|t=12.7,3,9248,112,15,11.589963181779522,2.9004643264490855
25,A=0.11|t=5.10,25,73984,112,15,11.531069492725955,2.9004643264490855
26,A=0.11|t=5.12,13,36992,112,15,11.474485964359587,2.9004643264490855
27,A=0.11|t=5.5,27,73984,112,15,11.42003818033721,2.9004643264490855
28,A=0.11|t=5.7,7,18496,112,15,11.367570760443074,2.9004643264490855
29,A=0.11|t=7.10,29,73984,112,15,11.316944687373107,2.9004643264490855
30,A=0.11|t=7.12,15,36992,112,15,11.26803508689216,2.9004643264490855
31,A=0.11|t=7.5,31,73984,112,15,11.220729372113803,2.9004643264490855
32,A=0.11|t=7.7,1,2312,112,15,11.174925682500678,2.9004643264490855
33,A=0.12|t=11.11,33,73984,112,15,11.130531563142226,2.9004643264490855
34,A=0.12|t=11.13,1,2176,112,15,11.087462841250339,2.9004643264490855
35,A=0.12|t=11.4,35,73984,112,15,11.045642665555713,2.9004643264490855
36,A=0.12|t=11.6,9,18496,112,15,11.005000681058366,2.9004643264490855
37,A=0.12|t=13.11,37,73984,112,15,10.965472316871729,2.9004643264490855
38,A=0.12|t=13.13,19,36992,112,15,10.926998169057093,2.9004643264490855
39,A=0.12|t=13.4,39,73984,112,15,10.88952346363843,2.9004643264490855
40,A=0.12|t=13.6,5,9248,112,15,10.852997587613316,2.9004643264490855
41,A=0.12|t=4.11,41,73984,112,15,10.817373677882594,2.9004643264490855
42,A=0.12|t=4.13,21,36992,112,15,10.782608259721918,2.9004643264490855
43,A=0.12|t=4.4,43,73984,112,15,10.74866092779858,2.9004643264490855
44,A=0.12|t=4.6,11,18496,112,15,10.715494063863382,2.9004643264490855
45,A=0.12|t=6.11,45,73984,112,15,10.683072586171004,2.9004643264490855
46,A=0.12|t=6.13,23,36992,112,15,10.651363726443666,2.9004643264490855
47,A=0.12|t=6.4,47,73984,112,15,10.620336830823042,2.9004643264490855
48,A=0.12|t=6.6,3,4624,112,15,10.589963181779522,2.9004643264490855
49,A=0.13|t=12.12,49,73984,112,15,10.56021583838547,2.9004643264490855
50,A=0.13|t=12.14,25,36992,112,15,10.531069492725955,2.9004643264490855
51,A=0.13|t=12.3,3,4352,112,15,10.502500340529183,2.9004643264490855
52,A=0.13|t=12.5,13,18496,112,15,10.474485964359587,2.9004643264490855
53,A=0.13|t=14.12,53,73984,112,15,10.44700522793748,2.9004643264490855
54,A=0.13|t=14.14,27,36992,112,15,10.42003818033721,2.9004643264490855
55,A=0.13|t=14.3,55,73984,112,15,10.39356596897602,2.9004643264490855
56,A=0.13|t=14.5,7,9248,112,15,10.367570760443074,2.9004643264490855
57,A=0.13|t=3.12,57,73984,112,15,10.342035668335937,2.9004643264490855
58,A=0.13|t=3.14,29,36992,112,15,10.316944687373107,2.9004643264490855
59,A=0.13|t=3.3,59,73984,112,15,10.292282633138838,2.9004643264490855
60,A=0.13|t=3.5,15,18496,112,15,10.26803508689216,2.9004643264490855
61,A=0.13|t=5.12,61,73984,112,15,10.244188344937793,2.9004643264490855
62,A=0.13|t=5.14,31,36992,112,15,10.220729372113803,2.9004643264490855
