t_norm2,margin,cumulative_weight,total_weight
0,-5,6227712,6590253236224
0,-4,88562112,6590253236224
0,-3,739155376,6590253236224
0,-2,4355606120,6590253236224
0,-1,18398860272,6590253236224
0,1,332391115640,6590253236224
0,2,1850501264192,6590253236224
0,3,4612934546488,6590253236224
0,4,6500247050416,6590253236224
0,5,6590253236224,6590253236224
1,-5,24910848,13705975169024
1,-4,354248448,13705975169024
1,-3,2956621504,13705975169024
1,-2,17422424480,13705975169024
1,-1,212788198848,13705975169024
1,1,1406024263136,13705975169024
1,2,4881397402880,13705975169024
1,3,10093330680032,13705975169024
1,4,13537142689984,13705975169024
1,5,13705975169024,13705975169024
10,-5,49821696,2101874786304
10,-4,708496896,2101874786304
10,-3,5913243008,2101874786304
10,-2,34844848960,2101874786304
10,-1,147190882176,2101874786304
10,1,450518309824,2101874786304
10,2,1010456828416,2101874786304
10,3,1677915988416,2101874786304
10,4,2082450228608,2101874786304
10,5,2101874786304,2101874786304
100,-5,49821696,2101874786304
100,-4,708496896,2101874786304
100,-3,5913243008,2101874786304
100,-2,34844848960,2101874786304
100,-1,147190882176,2101874786304
100,1,450518309824,2101874786304
100,2,1010456828416,2101874786304
100,3,1677915988416,2101874786304
100,4,2082450228608,2101874786304
100,5,2101874786304,2101874786304
113,-5,49821696,2101874786304
113,-4,708496896,2101874786304
113,-3,5913243008,2101874786304
113,-2,34844848960,2101874786304
113,-1,147190882176,2101874786304
113,1,450518309824,2101874786304
113,2,1010456828416,2101874786304
113,3,1677915988416,2101874786304
113,4,2082450228608,2101874786304
113,5,2101874786304,2101874786304
128,-5,24910848,1050937393152
128,-4,354248448,1050937393152
128,-3,2956621504,1050937393152
128,-2,17422424480,1050937393152
128,-1,73595441088,1050937393152
128,1,225259154912,1050937393152
128,2,505228414208,1050937393152
128,3,838957994208,1050937393152
128,4,1041225114304,1050937393152
128,5,1050937393152,1050937393152
13,-5,49821696,2101874786304
13,-4,708496896,2101874786304
13,-3,5913243008,2101874786304
13,-2,34844848960,2101874786304
13,-1,147190882176,2101874786304
13,1,450518309824,2101874786304
13,2,1010456828416,2101874786304
13,3,1677915988416,2101874786304
13,4,2082450228608,2101874786304
13,5,2101874786304,2101874786304
16,-5,24910848,1050937393152
16,-4,354248448,1050937393152
16,-3,2956621504,1050937393152
16,-2,17422424480,1050937393152
16,-1,73595441088,1050937393152
16,1,225259154912,1050937393152
16,2,505228414208,1050937393152
16,3,838957994208,1050937393152
16,4,1041225114304,1050937393152
16,5,1050937393152,1050937393152
17,-5,49821696,2101874786304
17,-4,708496896,2101874786304
17,-3,5913243008,2101874786304
17,-2,34844848960,2101874786304
17,-1,147190882176,2101874786304
17,1,450518309824,2101874786304
17,2,1010456828416,2101874786304
17,3,1677915988416,2101874786304
17,4,2082450228608,2101874786304
17,5,2101874786304,2101874786304
18,-5,24910848,1050937393152
18,-4,354248448,1050937393152
18,-3,2956621504,1050937393152
18,-2,17422424480,1050937393152
18,-1,73595441088,1050937393152
18,1,225259154912,1050937393152
18,2,505228414208,1050937393152
18,3,838957994208,1050937393152
18,4,1041225114304,1050937393152
18,5,1050937393152,1050937393152
